"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Stephen Strasburg","Nationals","WSH @ SD",".50","6.73","26.86","4.96","3.25",".89",".17",".65","2.24","9.31","29.49","47.61","27.60","10131"
"Kyle Hendricks","Cubs","MIA @ CHC",".51","7.21","29.04","6.25","4.21","1.24",".09",".70","1.69","5.94","22.80","38.07","21.17","12049"
"Jeff Samardzija","Giants","SF @ PHI",".39","6.34","26.65","6.26","3.66","1.19",".20","1.22","1.89","6.71","19.51","34.01","18.25","3254"
"Tyson Ross","Padres","WSH @ SD",".26","6.23","26.42","5.28","3.40","1.04",".09",".75","3.11","6.48","19.06","33.94","17.87","7872"
"Dallas Keuchel","Astros","HOU @ OAK",".42","6.41","27.21","6.30","3.78","1.46",".09",".97","2.20","5.36","17.00","30.71","15.87","9434"
"Fernando Romero","Twins","MIN @ STL",".36","5.78","25.40","5.47","3.49","1.13",".12",".73","3.20","5.15","14.70","28.06","13.91","15885"
"Michael Fulmer","Tigers","DET @ TEX",".37","5.55","24.09","5.58","3.60","1.11",".11",".76","2.46","4.89","14.25","26.54","13.33","13218"
"Zach Eflin","Phillies","SF @ PHI",".34","6.06","25.85","6.31","3.89","1.29",".15",".97","1.96","4.49","14.11","26.36","12.98","13774"
"John Gant","Cardinals","MIN @ STL",".34","5.96","25.59","6.11","3.86","1.27",".12",".85","2.19","4.28","13.57","25.70","12.52","13684"
"Jarlin Garcia","Marlins","MIA @ CHC",".26","5.81","24.93","5.85","3.47","1.34",".14",".91","2.18","4.47","13.48","25.25","12.43","18282"
"P.J. Conlon","Mets","NYM @ CIN",".41","5.90","25.76","6.22","4.14","1.18",".12",".77","2.51","4.09","12.71","25.08","11.87","sa857544"
"Matt Moore","Rangers","DET @ TEX",".30","5.67","24.90","6.43","4.13","1.38",".12",".81","2.08","4.32","12.10","23.97","11.31","1890"
"Homer Bailey","Reds","NYM @ CIN",".30","5.87","25.40","6.30","3.55","1.27",".09","1.39","2.01","4.19","12.04","23.36","11.06","8362"
"Brett Anderson","Athletics","HOU @ OAK",".27","5.16","22.52","5.93","3.84","1.38",".05",".65","1.69","3.11","9.64","19.15","8.82","8223"
