"Name","Team","Game","W","IP","TBF","H","1B","2B","3B","HR","BB","SO","Yahoo","FanDuel","DraftKings","playerid"
"Luis Severino","Yankees","DET @ NYY",".55","6.75","26.90","5.73","3.88","1.29",".08",".48","1.46","7.89","26.90","43.70","24.97","15890"
"Corey Kluber","Indians","TB @ CLE",".52","6.78","27.27","6.08","4.03","1.30",".10",".65","1.38","7.61","25.56","42.02","23.75","2429"
"Nick Pivetta","Phillies","CHC @ PHI",".35","5.92","24.92","5.61","3.49","1.09",".10",".93","2.03","6.86","19.98","34.43","18.64","15454"
"Nathan Eovaldi","Red Sox","BOS @ CWS",".44","6.21","25.53","6.41","4.25","1.20",".20",".77","1.00","6.09","19.97","33.89","18.40","9132"
"Zack Wheeler","Mets","NYM @ SF",".36","6.02","25.16","5.60","3.87","1.12",".15",".47","2.01","5.91","19.16","33.10","17.74","10310"
"Zack Greinke","Diamondbacks","ARI @ LAD",".35","5.95","24.57","5.44","3.09","1.11",".06","1.18","1.70","6.23","19.18","32.39","17.64","1943"
"Anibal Sanchez","Braves","PIT @ ATL",".37","6.46","26.55","6.33","4.17","1.22",".11",".83","1.39","5.56","18.94","32.62","17.38","3284"
"Antonio Senzatela","Rockies","COL @ SD",".43","6.16","25.56","5.67","3.83","1.16",".14",".54","2.08","5.51","18.65","32.48","17.25","15488"
"Andrew Suarez","Giants","NYM @ SF",".34","6.23","25.66","5.83","4.05","1.08",".23",".47","1.73","5.39","18.76","32.28","17.21","18300"
"Aaron Sanchez","Blue Jays","TOR @ MIA",".41","6.33","26.90","5.82","4.24","1.04",".23",".30","2.83","5.08","17.09","31.39","15.99","11490"
"Jameson Taillon","Pirates","PIT @ ATL",".38","6.49","27.25","6.89","4.72","1.40",".13",".64","1.57","5.20","17.31","31.18","16.12","11674"
"Dan Straily","Marlins","TOR @ MIA",".32","6.21","25.49","5.62","3.40","1.23",".11",".88","1.75","5.15","17.69","30.37","16.10","9460"
"Michael Kopech","White Sox","BOS @ CWS",".29","5.65","24.44","5.31","3.37","1.19",".09",".65","2.77","6.03","16.72","30.28","15.74","17282"
"Framber Valdez","Astros","LAA @ HOU",".37","5.53","24.16","5.33","3.40",".98",".12",".82","2.81","5.89","16.16","29.56","15.28","17295"
"Hyun-Jin Ryu","Dodgers","ARI @ LAD",".33","5.76","24.23","5.69","3.54","1.27",".07",".81","1.81","5.36","16.62","29.20","15.34","14444"
"Brett Kennedy","Padres","COL @ SD",".29","5.96","25.06","5.84","3.67","1.17",".16",".84","1.89","5.33","16.54","29.29","15.22","17877"
"Jose Quintana","Cubs","CHC @ PHI",".35","5.75","24.70","5.62","3.57","1.18",".11",".77","2.43","5.44","16.00","29.10","14.97","11423"
"Austin Gomber","Cardinals","CIN @ STL",".42","5.90","25.22","5.65","4.00","1.03",".10",".52","2.54","4.90","15.86","29.04","14.77","16561"
"Tanner Roark","Nationals","MIL @ WSH",".35","6.22","26.49","6.43","4.19","1.18",".06","1.00","2.03","4.78","14.98","27.79","13.87","8753"
"Mike Fiers","Athletics","SEA @ OAK",".36","6.00","25.49","6.22","3.92","1.31",".14",".85","1.83","4.56","14.67","26.94","13.48","7754"
"Brad Keller","Royals","BAL @ KC",".37","5.87","25.26","6.34","4.33","1.29",".16",".57","1.94","4.53","14.30","26.84","13.26","15734"
"Mike Leake","Mariners","SEA @ OAK",".37","6.23","26.54","7.10","4.43","1.61",".23",".82","1.37","4.10","13.54","25.61","12.47","10130"
"Tyler Glasnow","Rays","TB @ CLE",".21","5.32","23.86","5.47","3.30","1.30",".07",".79","2.99","5.20","12.75","25.02","12.17","14374"
"Andrew Cashner","Orioles","BAL @ KC",".34","5.81","25.58","6.41","4.07","1.49",".25",".61","2.43","4.35","12.36","24.72","11.65","8782"
"Jordan Zimmermann","Tigers","DET @ NYY",".20","5.46","23.61","6.27","4.06","1.24",".11",".85","1.50","4.31","12.22","23.12","11.26","4505"
"Jhoulys Chacin","Brewers","MIL @ WSH",".34","5.32","23.33","5.38","3.49","1.12",".11",".66","2.61","4.01","11.83","22.97","11.05","2608"
"Drew Hutchison","Rangers","MIN @ TEX",".31","5.32","23.79","5.66","3.40","1.22",".17",".87","2.71","4.47","11.44","22.94","10.82","10732"
"Stephen Gonsalves","Twins","MIN @ TEX",".33","5.15","23.53","5.07","3.25","1.01",".14",".67","3.67","4.57","11.04","22.99","10.70","15492"
"Homer Bailey","Reds","CIN @ STL",".29","5.90","25.84","7.02","4.47","1.40",".07","1.08","1.73","3.86","11.06","22.53","10.28","8362"
"Jaime Barria","Angels","LAA @ HOU",".27","5.22","23.12","6.06","3.75","1.26",".12",".94","1.94","4.00","10.46","20.96","9.76","18356"
